"","N_1","N_2","N_3","Y_1","Y_2","Y_3"
"Gene_1",60,60,16,9,56,37
"Gene_2",25,9,15,15,26,11
"Gene_3",32,19,21,31,28,28
"Gene_4",1,3,0,5,1,1
"Gene_5",6,7,8,4,4,1
"Gene_6",42,38,30,51,34,48
"Gene_7",46,55,53,56,41,60
"Gene_8",1,1,4,0,5,2
"Gene_9",46,49,54,61,37,37
"Gene_10",2,1,0,2,5,4
"Gene_11",24,28,20,30,36,32
"Gene_12",0,9,8,6,3,1
"Gene_13",0,0,1,1,0,0
"Gene_14",22,29,21,59,57,34
"Gene_15",55,46,44,39,74,62
"Gene_16",263,152,147,179,192,151
"Gene_17",0,1,0,1,2,2
"Gene_18",0,0,4,0,0,0
"Gene_19",14,6,23,89,22,258
"Gene_20",566,671,238,339,820,496
"Gene_21",213,120,398,91,222,179
"Gene_22",8,8,12,6,3,9
"Gene_23",41,37,47,35,30,28
"Gene_24",36,40,109,32,42,41
"Gene_25",3,8,3,6,3,4
"Gene_26",221,142,160,108,223,227
"Gene_27",0,1,0,0,0,0
"Gene_28",92,109,91,66,95,86
"Gene_29",38,47,38,29,49,46
"Gene_30",70,60,75,79,85,98
"Gene_31",1,18,19,24,2,8
"Gene_32",289,263,223,303,320,268
"Gene_33",0,0,0,0,0,1
"Gene_34",2,4,1,0,3,12
"Gene_35",75,44,52,68,71,53
"Gene_36",2,1,2,0,0,3
"Gene_37",24,43,31,44,45,28
"Gene_38",326,300,206,189,364,297
"Gene_39",2,4,4,11,8,1
"Gene_40",6,2,4,5,4,3
"Gene_41",48,53,35,38,57,74
"Gene_42",85,48,65,37,92,72
"Gene_43",0,1,4,1,2,2
"Gene_44",513,485,406,658,702,663
"Gene_45",76,115,69,37,134,213
"Gene_46",0,5,17,2,0,1
"Gene_47",0,0,10,2,1,0
"Gene_48",1,6,3,1,3,2
"Gene_49",30,45,33,61,64,67
"Gene_50",285,242,198,299,209,261
"Gene_51",3,2,12,0,2,4
"Gene_52",2,2,2,0,4,3
"Gene_53",198,165,172,137,202,145
"Gene_54",66,67,52,54,74,68
"Gene_55",2,4,12,4,2,6
"Gene_56",11,8,33,17,15,18
"Gene_57",8,11,16,7,25,10
"Gene_58",1,2,7,8,2,5
"Gene_59",124,376,170,280,398,309
"Gene_60",0,1,2,0,0,1
"Gene_61",7,6,4,13,2,24
"Gene_62",11,35,32,9,35,12
"Gene_63",1,0,1,0,0,0
"Gene_64",1,13,13,20,2,20
"Gene_65",216,192,244,246,276,240
"Gene_66",119,99,123,102,134,113
"Gene_67",90,133,162,229,381,218
"Gene_68",80,406,215,556,208,400
"Gene_69",0,1,0,0,0,0
"Gene_70",19,8,26,26,24,31
"Gene_71",3,3,4,13,5,8
"Gene_72",3,6,15,2,8,9
"Gene_73",18,23,29,12,18,20
"Gene_74",7,9,7,11,6,10
"Gene_75",98,92,95,120,109,85
"Gene_76",12,6,26,5,33,16
"Gene_77",98,59,61,38,97,41
"Gene_78",1016,859,699,572,1300,661
"Gene_79",30,3,5,2,1,55
"Gene_80",70,84,54,47,67,45
"Gene_81",122,149,146,191,168,239
"Gene_82",50,50,69,44,48,42
"Gene_83",3,1,4,1,3,2
"Gene_84",1,0,0,0,0,0
"Gene_85",307,280,351,290,536,360
"Gene_86",3,5,2,1,17,10
"Gene_87",64,34,127,80,49,61
"Gene_88",82,70,89,38,115,154
"Gene_89",9,23,29,18,26,18
"Gene_90",15,8,15,9,17,7
"Gene_91",5,7,12,3,0,4
"Gene_92",56,66,53,63,58,70
"Gene_93",124,112,122,92,158,140
"Gene_94",18,17,29,47,29,51
"Gene_95",1,0,0,1,3,0
"Gene_96",366,216,216,362,331,304
"Gene_97",27,21,59,15,31,11
"Gene_98",0,1,0,0,0,0
"Gene_99",172,175,140,167,233,219
"Gene_100",2,6,23,15,7,8
"Gene_101",4,2,12,3,7,7
"Gene_102",2,1,6,7,1,6
"Gene_103",37,52,44,33,60,45
"Gene_104",0,0,2,1,0,2
"Gene_105",83,52,62,11,83,143
"Gene_106",7,11,7,16,19,32
"Gene_107",10,13,6,8,9,7
"Gene_108",185,177,177,113,300,225
"Gene_109",2086,2039,1256,2203,2734,2276
"Gene_110",41,32,39,15,21,44
"Gene_111",1,2,29,5,2,3
"Gene_112",359,321,277,489,687,408
"Gene_113",11,5,27,4,9,5
"Gene_114",64,104,245,652,99,422
"Gene_115",1,0,0,1,1,4
"Gene_116",0,4,1,4,2,6
"Gene_117",39,24,7,11,42,37
"Gene_118",8,4,2,5,1,11
"Gene_119",40,33,17,14,21,29
"Gene_120",31,16,16,26,20,17
"Gene_121",31,31,25,31,37,20
"Gene_122",1,6,4,19,1,17
"Gene_123",26,35,46,42,52,47
"Gene_124",116,105,125,114,140,144
"Gene_125",18,11,25,19,16,13
"Gene_126",54,80,180,63,59,96
"Gene_127",45,21,21,23,35,29
"Gene_128",37,32,24,29,36,36
"Gene_129",3,2,15,2,1,6
"Gene_130",2,0,2,2,0,3
"Gene_131",11,13,9,7,16,13
"Gene_132",14,9,20,21,15,8
"Gene_133",662,615,511,685,1409,537
"Gene_134",0,0,1,0,0,1
"Gene_135",24,8,10,11,13,17
"Gene_136",138,124,203,174,181,157
"Gene_137",44,35,31,37,54,52
"Gene_138",33,23,39,39,36,54
"Gene_139",28,13,11,13,30,23
"Gene_140",237,183,316,233,288,311
"Gene_141",5,5,5,1,4,4
"Gene_142",421,433,501,450,571,582
"Gene_143",736,704,365,483,944,930
"Gene_144",164,210,173,165,132,128
"Gene_145",32,43,142,33,52,19
"Gene_146",88,90,71,88,87,108
"Gene_147",122,120,378,154,160,137
"Gene_148",35,39,39,31,55,41
"Gene_149",4,4,7,7,6,8
"Gene_150",5,1,7,1,3,3
"Gene_151",172,228,288,432,273,207
"Gene_152",20,4,19,7,8,10
"Gene_153",47,53,63,41,64,77
"Gene_154",10,10,31,8,1,7
"Gene_155",16,21,5,5,22,18
"Gene_156",2,1,7,5,5,2
"Gene_157",331,338,344,239,360,440
"Gene_158",10,13,17,11,17,13
"Gene_159",325,206,243,294,490,387
"Gene_160",94,104,103,79,109,86
"Gene_161",82,75,64,63,73,63
"Gene_162",153,124,185,215,370,121
"Gene_163",213,182,277,223,273,274
"Gene_164",318,253,370,268,450,473
"Gene_165",322,379,481,458,274,580
"Gene_166",34,23,27,14,17,23
"Gene_167",102,92,50,85,85,72
"Gene_168",25,17,9,12,27,27
"Gene_169",8,6,1,1,6,3
"Gene_170",0,0,1,0,0,0
"Gene_171",425,291,351,218,367,335
"Gene_172",6,11,68,7,5,16
"Gene_173",10,20,34,28,36,26
"Gene_174",6,2,2,2,6,4
"Gene_175",32,17,29,28,39,15
"Gene_176",136,218,100,278,126,130
"Gene_177",401,370,355,383,567,475
"Gene_178",0,2,1,2,0,0
"Gene_179",166,303,105,175,273,187
"Gene_180",64,54,31,52,73,58
"Gene_181",48,63,32,73,89,45
"Gene_182",9,5,7,11,7,16
"Gene_183",16,17,29,12,22,24
"Gene_184",4,2,8,0,2,1
"Gene_185",4,3,3,2,2,6
"Gene_186",2,1,0,0,0,2
"Gene_187",2,6,18,5,6,11
"Gene_188",15,19,45,9,9,32
"Gene_189",4,5,5,5,13,5
"Gene_190",4,2,21,5,9,8
"Gene_191",17,30,45,13,8,7
"Gene_192",129,200,154,338,402,162
"Gene_193",2,5,15,9,6,2
"Gene_194",18,20,20,30,29,18
"Gene_195",32,39,35,26,45,41
"Gene_196",53,63,68,56,80,66
"Gene_197",39,35,20,23,37,41
"Gene_198",8,9,29,3,6,12
"Gene_199",91,62,66,45,126,84
"Gene_200",48,46,15,17,38,23
"Gene_201",91,86,93,103,91,95
"Gene_202",15,7,14,2,8,14
"Gene_203",3,1,0,7,2,1
"Gene_204",481,443,557,441,578,593
"Gene_205",39,30,22,21,38,46
"Gene_206",7,9,15,13,16,12
"Gene_207",0,4,11,7,3,7
"Gene_208",467,548,591,233,532,681
"Gene_209",255,267,219,215,342,222
"Gene_210",162,301,269,468,600,505
"Gene_211",58,52,355,388,42,96
"Gene_212",122,141,85,142,127,124
"Gene_213",16,24,10,15,17,20
"Gene_214",16,16,39,19,19,20
"Gene_215",81,75,56,76,163,89
"Gene_216",122,120,105,112,159,126
"Gene_217",59,87,24,26,72,67
"Gene_218",1,0,1,0,0,0
"Gene_219",8,4,3,1,2,5
